file_name	int_area
1607_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_ELDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_FOXC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_REDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFCD_EMC_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFMG_EMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFMG_EMR_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFMG_EMY_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFMG_SMP_2-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFPR_EMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFPR_EMR_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFPR_SMP_2-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1607_SFSI_SMP_2-ProcessedContour_IFE_RM_NRM.dat	23870.69652
1608_BLNK_EMB_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_ELDC_EML_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_ELDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_ELDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_FOXC_EMD_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_FOXC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_FOXC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_REDC_EMP_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_REDC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_REDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFCD_EMC_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFCD_EMD_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_SFCD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFCD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFCD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFMD_EML_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_SFMD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFMD_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFMD_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFMG_EMC_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFMG_EMC_2-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFMG_EMD_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_SFMG_EML_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_SFMG_EMP_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFMG_EMS_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_SFMG_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFMG_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFPR_EMG_2-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFPR_EMP_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFPR_EMS_1-ProcessedContour_IFE_RM_NRM.dat	11499.41688
1608_SFPR_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFPR_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFSI_EMP_1-ProcessedContour_IFE_RM_NRM.dat	11413.1167
1608_SFSI_SMP_1-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1608_SFSI_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11628.40477
1609_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12168.15767
1609_ELDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11832.13121
1609_FOXC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12168.15767
1609_FOXC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11832.13121
1609_REDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	12168.15767
1609_REDC_SMP_2-ProcessedContour_IFE_RM_NRM.dat	11832.13121
