file_name	base_name	yr_mo	int_area	int_gain	samp_gain
1608_REDC_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1608_REDC_EMS_1	1608	11499.41688	low	low
1608_SFCD_EMC_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFCD_EMC_1	1608	11413.1167	low	low
1608_SFCD_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFCD_EMD_1	1608	11499.41688	low	low
1608_SFCD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFCD_EMP_1	1608	11413.1167	low	low
1608_SFMD_EML_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFMD_EML_1	1608	11499.41688	low	low
1608_SFMD_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFMD_EMP_1	1608	11413.1167	low	low
1608_SFMG_EMC_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFMG_EMC_1	1608	11413.1167	low	low
1608_SFMG_EMC_2-ProcessedContour_IFE_RM_NRM.dat	1608_SFMG_EMC_2	1608	11413.1167	low	low
1608_SFMG_EMD_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFMG_EMD_1	1608	11499.41688	low	low
1608_SFMG_EML_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFMG_EML_1	1608	11499.41688	low	low
1608_SFMG_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFMG_EMP_1	1608	11413.1167	low	low
1608_SFMG_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFMG_EMS_1	1608	11499.41688	low	low
1608_SFPR_EMG_2-ProcessedContour_IFE_RM_NRM.dat	1608_SFPR_EMG_2	1608	11413.1167	low	low
1608_SFPR_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFPR_EMP_1	1608	11413.1167	low	low
1608_SFPR_EMS_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFPR_EMS_1	1608	11499.41688	low	low
1608_SFSI_EMP_1-ProcessedContour_IFE_RM_NRM.dat	1608_SFSI_EMP_1	1608	11413.1167	low	low
1704_ELDC_SMP_1-ProcessedContour_IFE_RM_NRM.dat	1704_ELDC_SMP_1	1704	12028.4453	low	low
