ex	em	z
598	251.872	0
598	253.459	0
598	255.046	0
598	256.634	0
598	258.223	0
598	259.812	0
598	261.402	0
598	262.993	0
598	264.584	0
598	266.176	0
598	267.769	0
598	269.362	0
598	270.956	0
598	272.551	0
598	274.146	0
598	275.742	0
598	277.338	0
598	278.935	0
598	280.533	0
598	282.131	0
598	283.73	0
598	285.33	0
598	286.93	0
598	288.531	0
598	290.132	0
598	291.735	0
598	293.337	0
598	294.941	0
598	296.545	0
598	298.149	0
598	299.754	0
598	301.36	0
598	302.966	0
598	304.573	0
598	306.181	0
598	307.789	0
598	309.398	0
598	311.007	0
598	312.617	0
598	314.228	0
598	315.839	0
598	317.451	0
598	319.063	0
598	320.676	0
598	322.29	0
598	323.904	0
598	325.519	0
598	327.134	0
598	328.75	0
598	330.366	0
598	331.983	0
598	333.601	0
598	335.219	0
598	336.838	0
598	338.457	0
598	340.077	0
598	341.697	0
598	343.318	0
598	344.94	0
598	346.562	0
598	348.185	0
598	349.808	0
598	351.432	0
598	353.056	0
598	354.681	0
598	356.306	0
598	357.932	0
598	359.558	0
598	361.185	0
598	362.813	0
598	364.441	0
598	366.07	0
598	367.699	0
598	369.328	0
598	370.959	0
598	372.589	0
598	374.221	0
598	375.852	0
598	377.485	0
598	379.117	0
598	380.751	0
598	382.384	0
598	384.019	0
598	385.654	0
598	387.289	0
598	388.925	0
598	390.561	0
598	392.198	0
598	393.835	0
598	395.473	0
598	397.111	0
598	398.75	0
598	400.39	0
598	402.029	0
598	403.67	0
598	405.31	0
598	406.951	0
598	408.593	0
598	410.235	0
598	411.878	0
598	413.521	0
598	415.165	0
598	416.809	0
598	418.453	0
598	420.098	0
598	421.744	0
598	423.39	0
598	425.036	0
598	426.683	0
598	428.33	0
598	429.978	0
598	431.626	0
598	433.274	0
598	434.923	0
598	436.573	0
598	438.223	0
598	439.873	0
598	441.524	0
598	443.175	0
598	444.827	0
598	446.479	0
598	448.131	0
598	449.784	0
598	451.437	0
598	453.091	0
598	454.745	0
598	456.4	0
598	458.055	0
598	459.71	0
598	461.366	0
598	463.022	0
598	464.678	0
598	466.335	0
598	467.993	0
598	469.651	0
598	471.309	0
598	472.967	0
598	474.626	0
598	476.285	0
598	477.945	0
598	479.605	0
598	481.265	0
598	482.926	0
598	484.587	0
598	486.249	0
598	487.911	0
598	489.573	0
598	491.236	0
598	492.899	0
598	494.562	0
598	496.226	0
598	497.89	0
598	499.554	0
598	501.219	0
598	502.884	0
598	504.549	0
598	506.215	0
598	507.881	0
598	509.548	0
598	511.214	0
598	512.881	0
598	514.549	0
598	516.217	0
598	517.885	0
598	519.553	0
598	521.222	0
598	522.891	0
598	524.56	0
598	526.23	0
598	527.9	0
598	529.57	0
598	531.24	0
598	532.911	0
598	534.582	0
598	536.254	0
598	537.925	0
598	539.597	0
598	541.27	0
598	542.942	0
598	544.615	0
598	546.288	0
598	547.961	0
598	549.635	0
598	551.309	0
598	552.983	0
598	554.658	0
598	556.332	0
598	558.007	0
598	559.683	0
598	561.358	0
598	563.034	0
598	564.71	0
598	566.386	0
598	568.063	0
598	569.739	0
598	571.416	0
598	573.093	0
598	574.771	0
598	576.448	0
598	578.126	0
598	579.804	0
598	581.483	0
598	583.161	0
598	584.84	0
598	586.519	0
598	588.198	0
598	589.878	0
598	591.557	0
598	593.237	0
598	594.917	0
598	596.597	0
598	598.277	0
598	599.958	0
598	601.639	0
598	603.32	0
598	605.001	0
598	606.682	0
598	608.364	0
598	610.045	-0.00315877870035688
598	611.727	-9.40017666692622e-4
598	613.409	-0.00262565971161511
598	615.091	0.00320046064113465
598	616.774	-0.00678766136414215
598	618.456	-0.00305064626310989
598	620.139	0.00579450925887408
597	212.423	0
597	213.993	0
597	215.563	0
597	217.134	0
597	218.706	0
597	220.279	0
597	221.852	0
597	223.426	0
597	225	0
597	226.576	0
597	228.152	0
597	229.728	0
597	231.305	0
597	232.883	0
597	234.462	0
597	236.042	0
597	237.622	0
597	239.202	0
597	240.784	0
597	242.366	0
597	243.948	0
597	245.532	0
597	247.116	0
597	248.701	0
597	250.286	0
597	251.872	0
597	253.459	0
597	255.046	0
597	256.634	0
597	258.223	0
597	259.812	0
597	261.402	0
597	262.993	0
597	264.584	0
597	266.176	0
597	267.769	0
597	269.362	0
597	270.956	0
597	272.551	0
597	274.146	0
597	275.742	0
597	277.338	0
597	278.935	0
597	280.533	0
597	282.131	0
597	283.73	0
597	285.33	0
597	286.93	0
597	288.531	0
597	290.132	0
597	291.735	0
597	293.337	0
597	294.941	0
597	296.545	0
597	298.149	0
597	299.754	0
597	301.36	0
597	302.966	0
597	304.573	0
597	306.181	0
597	307.789	0
597	309.398	0
597	311.007	0
597	312.617	0
597	314.228	0
597	315.839	0
597	317.451	0
597	319.063	0
597	320.676	0
597	322.29	0
597	323.904	0
597	325.519	0
597	327.134	0
597	328.75	0
597	330.366	0
597	331.983	0
597	333.601	0
597	335.219	0
597	336.838	0
597	338.457	0
597	340.077	0
597	341.697	0
597	343.318	0
597	344.94	0
597	346.562	0
597	348.185	0
597	349.808	0
597	351.432	0
597	353.056	0
597	354.681	0
597	356.306	0
597	357.932	0
597	359.558	0
597	361.185	0
597	362.813	0
597	364.441	0
597	366.07	0
597	367.699	0
597	369.328	0
597	370.959	0
597	372.589	0
597	374.221	0
597	375.852	0
597	377.485	0
597	379.117	0
597	380.751	0
597	382.384	0
597	384.019	0
597	385.654	0
597	387.289	0
597	388.925	0
597	390.561	0
597	392.198	0
597	393.835	0
597	395.473	0
597	397.111	0
597	398.75	0
597	400.39	0
597	402.029	0
597	403.67	0
597	405.31	0
597	406.951	0
597	408.593	0
597	410.235	0
597	411.878	0
597	413.521	0
597	415.165	0
597	416.809	0
597	418.453	0
597	420.098	0
597	421.744	0
597	423.39	0
597	425.036	0
597	426.683	0
597	428.33	0
597	429.978	0
597	431.626	0
597	433.274	0
597	434.923	0
597	436.573	0
597	438.223	0
597	439.873	0
597	441.524	0
597	443.175	0
597	444.827	0
597	446.479	0
597	448.131	0
597	449.784	0
597	451.437	0
597	453.091	0
597	454.745	0
597	456.4	0
597	458.055	0
597	459.71	0
597	461.366	0
597	463.022	0
597	464.678	0
597	466.335	0
597	467.993	0
597	469.651	0
597	471.309	0
597	472.967	0
597	474.626	0
597	476.285	0
597	477.945	0
597	479.605	0
597	481.265	0
597	482.926	0
597	484.587	0
597	486.249	0
597	487.911	0
597	489.573	0
597	491.236	0
597	492.899	0
597	494.562	0
597	496.226	0
597	497.89	0
597	499.554	0
597	501.219	0
597	502.884	0
597	504.549	0
597	506.215	0
597	507.881	0
597	509.548	0
597	511.214	0
597	512.881	0
597	514.549	0
597	516.217	0
597	517.885	0
597	519.553	0
597	521.222	0
597	522.891	0
597	524.56	0
597	526.23	0
597	527.9	0
597	529.57	0
597	531.24	0
597	532.911	0
597	534.582	0
597	536.254	0
597	537.925	0
597	539.597	0
597	541.27	0
597	542.942	0
597	544.615	0
597	546.288	0
597	547.961	0
597	549.635	0
597	551.309	0
597	552.983	0
597	554.658	0
597	556.332	0
597	558.007	0
597	559.683	0
597	561.358	0
597	563.034	0
597	564.71	0
597	566.386	0
597	568.063	0
597	569.739	0
597	571.416	0
597	573.093	0
597	574.771	0
597	576.448	0
597	578.126	0
597	579.804	0
597	581.483	0
597	583.161	0
597	584.84	0
597	586.519	0
597	588.198	0
597	589.878	0
597	591.557	0
597	593.237	0
597	594.917	0
597	596.597	0
597	598.277	0
597	599.958	0
597	601.639	0
597	603.32	0
597	605.001	0
597	606.682	0
597	608.364	0
597	610.045	-0.00375311985835098
597	611.727	-0.00459993649789312
597	613.409	0.00120739209061898
597	615.091	6.32617625001764e-4
597	616.774	-0.00121971447988375
597	618.456	0.0031630111151587
597	620.139	-0.00178661362959128
596	212.423	0
596	213.993	0
596	215.563	0
596	217.134	0
596	218.706	0
596	220.279	0
596	221.852	0
596	223.426	0
596	225	0
596	226.576	0
596	228.152	0
596	229.728	0
596	231.305	0
596	232.883	0
596	234.462	0
596	236.042	0
596	237.622	0
596	239.202	0
596	240.784	0
596	242.366	0
596	243.948	0
596	245.532	0
596	247.116	0
596	248.701	0
596	250.286	0
596	251.872	0
596	253.459	0
596	255.046	0
596	256.634	0
596	258.223	0
596	259.812	0
596	261.402	0
596	262.993	0
596	264.584	0
596	266.176	0
596	267.769	0
596	269.362	0
596	270.956	0
596	272.551	0
596	274.146	0
596	275.742	0
596	277.338	0
596	278.935	0
596	280.533	0
596	282.131	0
596	283.73	0
596	285.33	0
596	286.93	0
596	288.531	0
596	290.132	0
596	291.735	0
596	293.337	0
596	294.941	0
596	296.545	0
596	298.149	0
596	299.754	0
596	301.36	0
596	302.966	0
596	304.573	0
596	306.181	0
596	307.789	0
596	309.398	0
596	311.007	0
596	312.617	0
596	314.228	0
596	315.839	0
596	317.451	0
596	319.063	0
596	320.676	0
596	322.29	0
596	323.904	0
596	325.519	0
596	327.134	0
596	328.75	0
596	330.366	0
596	331.983	0
596	333.601	0
596	335.219	0
596	336.838	0
596	338.457	0
596	340.077	0
596	341.697	0
596	343.318	0
596	344.94	0
596	346.562	0
596	348.185	0
596	349.808	0
596	351.432	0
596	353.056	0
596	354.681	0
596	356.306	0
596	357.932	0
596	359.558	0
596	361.185	0
596	362.813	0
596	364.441	0
596	366.07	0
596	367.699	0
596	369.328	0
596	370.959	0
596	372.589	0
596	374.221	0
596	375.852	0
596	377.485	0
596	379.117	0
596	380.751	0
596	382.384	0
596	384.019	0
596	385.654	0
596	387.289	0
596	388.925	0
596	390.561	0
596	392.198	0
596	393.835	0
596	395.473	0
596	397.111	0
596	398.75	0
596	400.39	0
596	402.029	0
596	403.67	0
596	405.31	0
596	406.951	0
596	408.593	0
596	410.235	0
596	411.878	0
596	413.521	0
596	415.165	0
596	416.809	0
596	418.453	0
596	420.098	0
596	421.744	0
596	423.39	0
596	425.036	0
596	426.683	0
596	428.33	0
596	429.978	0
596	431.626	0
596	433.274	0
596	434.923	0
596	436.573	0
596	438.223	0
596	439.873	0
596	441.524	0
596	443.175	0
596	444.827	0
596	446.479	0
596	448.131	0
596	449.784	0
596	451.437	0
596	453.091	0
596	454.745	0
596	456.4	0
596	458.055	0
596	459.71	0
596	461.366	0
596	463.022	0
596	464.678	0
596	466.335	0
