sampleID	em.uq
1603_FOXC_EMD_1	514.549
1603_FOXC_EMD_1	516.217
1603_FOXC_EMD_1	517.885
1603_FOXC_EMD_1	519.553
1603_FOXC_EMD_1	521.222
1603_FOXC_EMD_1	522.891
1603_FOXC_EMD_1	524.56
1603_FOXC_EMD_1	526.23
1603_FOXC_EMD_1	527.9
1603_FOXC_EMD_1	529.57
1603_FOXC_EMD_1	531.24
1603_FOXC_EMD_1	532.911
1603_FOXC_EMD_1	534.582
1603_FOXC_EMD_1	536.254
1603_FOXC_EMD_1	537.925
1603_FOXC_EMD_1	539.597
1603_FOXC_EMD_1	541.27
1603_FOXC_EMD_1	542.942
1603_FOXC_EMD_1	544.615
1603_FOXC_EMD_1	546.288
1603_FOXC_EMD_1	547.961
1603_FOXC_EMD_1	549.635
1603_FOXC_EMD_1	551.309
1603_FOXC_EMD_1	552.983
1603_FOXC_EMD_1	554.658
1603_FOXC_EMD_1	556.332
1603_FOXC_EMD_1	558.007
1603_FOXC_EMD_1	559.683
1603_FOXC_EMD_1	561.358
1603_FOXC_EMD_1	563.034
1603_FOXC_EMD_1	564.71
1603_FOXC_EMD_1	566.386
1603_FOXC_EMD_1	568.063
1603_FOXC_EMD_1	569.739
1603_FOXC_EMD_1	571.416
1603_FOXC_EMD_1	573.093
1603_FOXC_EMD_1	574.771
1603_FOXC_EMD_1	576.448
1603_FOXC_EMD_1	578.126
1603_FOXC_EMD_1	579.804
1603_FOXC_EMD_1	581.483
1603_FOXC_EMD_1	583.161
1603_FOXC_EMD_1	584.84
1603_FOXC_EMD_1	586.519
1603_FOXC_EMD_1	588.198
1603_FOXC_EMD_1	589.878
1603_FOXC_EMD_1	591.557
1603_FOXC_EMD_1	593.237
1603_FOXC_EMD_1	594.917
1603_FOXC_EMD_1	596.597
1603_FOXC_EMD_1	598.277
1603_FOXC_EMD_1	599.958
1603_FOXC_EMD_1	601.639
1603_FOXC_EMD_1	603.32
1603_FOXC_EMD_1	605.001
1603_FOXC_EMD_1	606.682
1603_FOXC_EMD_1	608.364
1603_FOXC_EMD_1	610.045
1603_FOXC_EMD_1	611.727
1603_FOXC_EMD_1	613.409
1603_FOXC_EMD_1	615.091
1603_FOXC_EMD_1	616.774
1603_FOXC_EMD_1	618.456
1603_FOXC_EMD_1	620.139
1603_FOXC_EMD_2	212.423
1603_FOXC_EMD_2	213.993
1603_FOXC_EMD_2	215.563
1603_FOXC_EMD_2	217.134
1603_FOXC_EMD_2	218.706
1603_FOXC_EMD_2	220.279
1603_FOXC_EMD_2	221.852
1603_FOXC_EMD_2	223.426
1603_FOXC_EMD_2	225
1603_FOXC_EMD_2	226.576
1603_FOXC_EMD_2	228.152
1603_FOXC_EMD_2	229.728
1603_FOXC_EMD_2	231.305
1603_FOXC_EMD_2	232.883
1603_FOXC_EMD_2	234.462
1603_FOXC_EMD_2	236.042
1603_FOXC_EMD_2	237.622
1603_FOXC_EMD_2	239.202
1603_FOXC_EMD_2	240.784
1603_FOXC_EMD_2	242.366
1603_FOXC_EMD_2	243.948
1603_FOXC_EMD_2	245.532
1603_FOXC_EMD_2	247.116
1603_FOXC_EMD_2	248.701
1603_FOXC_EMD_2	250.286
1603_FOXC_EMD_2	251.872
